Title,Capacity management,Change Management,Financial management,Governance,Monitoring and control,Risk management,Stakeholder management,Strategic alignment,Value management
Analysis of the application of military big data in equipment quality information management,3.81,4.23,4.58,3.85,3.83,3.69,6.06,3.31,4.89
Using Big Data in E-tourism Mobile Recommender Systems: A project approach,3.81,3.52,7.12,4.62,4.68,5.27,5.63,3.93,4.4
Crowdsourcing-based learning: The effective smart pedagogy for STEM education,4.21,0.7,4.33,3.85,3.62,5.45,6.93,3.68,6.36
Critical success factors for business intelligence implementation in an enterprise resource planning system environment using dematel: A case study at a cement manufacture company in Indonesia,7.41,10.56,9.41,11.15,6.81,7.38,9.96,5.03,9.29
Engineering Project Health Management: A Computational Approach for Project Management Support through Analytics of Digital Engineering Activity,6.21,6.34,7.89,7.69,7.23,5.27,7.36,5.15,7.58
Exploring the potential improvement of quality control in the construction industry with the use of digital technology,7.01,7.04,8.91,8.85,7.66,8.26,9.96,6.13,9.78
Comprehensive information management analysis of construction project based on BIM,4.41,2.11,5.34,4.62,5.32,5.62,8.23,4.17,6.6
Technology environment and crowdfunding platforms in Brazil,9.22,11.97,11.7,10.38,7.45,10.37,11.69,9.45,12.71
The effects of turnover on expert effort estimation,4.21,6.34,4.58,4.62,5.74,4.39,3.46,3.93,5.38
Strategic management and sustainable organizations: A path driven by technology; [Gestión estratégica y organizaciones sustentables: Un camino conducido por la tecnología],4.81,7.75,6.87,7.69,5.74,5.1,5.63,4.17,7.09
Innovators 5 forces approach to increase the strategic accuracy of technological SME-Innovations,4.41,6.34,4.58,6.92,3.4,3.87,3.9,3.44,4.16
Document clustering for knowledge synthesis and project portfolio funding decision in R&D organizations,4.21,5.63,3.82,5.0,3.83,3.87,5.19,5.77,5.38
RATIONAL SELECTION OF WORK PERFORMERS FOR INFORMATION SYSTEM DESIGN PROJECTS; [РАЦИОНАЛЬНЫЙ ВЫБОР ИСПОЛНИТЕЛЕЙ НА ПРОЕКТАХ ПО СОЗДАНИЮ ИНФОРМАЦИОННЫХ СИСТЕМ],6.41,7.04,8.91,6.15,7.66,6.33,6.93,4.91,6.85
Data-driven decisions in employee compensation utilizing a neuro-fuzzy inference system,4.81,6.34,8.4,7.69,6.17,5.98,7.36,5.77,7.33
Managing for competency with innovation change in higher education: Examining the pitfalls and pivots of digital transformation,4.21,7.04,5.09,5.77,4.89,5.62,6.93,4.17,5.38
Sport Facility Operations Management: A Global Perspective,4.41,4.23,3.82,3.85,4.04,4.75,5.19,4.17,4.65
Research on passenger flow prediction of Beijing subway based on spatiotemporal correlation analysis,3.21,6.34,4.33,3.85,6.17,3.16,4.33,3.19,3.91
Data mining approach to effort modeling on agile software projects,3.61,1.41,4.83,3.08,4.89,4.75,2.16,3.93,3.91
Data science in the business environment: customer analytics case studies in SMEs,7.01,8.45,8.4,10.77,8.72,7.91,8.66,6.87,10.76
How Digital Information Transforms Project Delivery Models,5.01,3.52,3.82,5.38,4.47,4.57,3.9,3.68,5.62
Jockeying for Position in CEO Letters: Impression Management and Sentiment Analytics,3.41,4.23,3.31,1.54,3.62,2.28,2.6,1.96,2.93
Data Science in Public Mental Health: A New Analytic Framework,4.41,5.63,4.33,4.23,4.47,4.75,6.06,4.17,4.89
"Project portfolio selection problems: A review of models, uncertainty approaches, solution techniques, and case studies",6.21,6.34,6.36,6.92,5.32,5.27,4.33,5.64,14.67
Agile projects and big data,3.21,7.04,4.58,3.46,4.89,4.04,5.19,3.56,5.13
Business analytics for strategic management: Identifying and assessing corporate challenges via topic modeling,4.61,9.15,6.36,5.77,4.68,4.22,4.76,3.8,4.16
Upgrading the business intelligence system by implementing the decision tree model in the R software package,7.82,10.56,9.41,9.23,7.02,8.08,5.63,5.64,9.05
The potential of digital technology to improve construction productivity,5.21,5.63,5.6,5.77,5.11,4.92,6.49,4.79,5.62
Maintaining and sustaining a telehealth-based ecosystem,3.01,4.23,5.09,5.77,4.47,4.57,7.36,4.42,3.67
Data science approach for it project management,5.21,7.75,6.11,6.15,14.68,7.38,7.36,4.66,6.85
Design and Implementation of Business Intelligence Dashboard for Project Control at the Port Harbor-Company,4.01,4.23,5.09,5.38,4.89,4.04,4.33,3.19,3.91
Leveraging internet of things and big data analytics initiatives in European and American firms: Is data quality a way to extract business value?,4.21,6.34,4.83,5.0,5.32,3.87,8.66,3.44,4.65
Global halal food discourse on social media: a text mining approach,4.01,7.75,5.85,5.77,5.11,4.39,5.63,4.29,5.38
KairÓS: Predictive model based on context histories for time management in projects; [KairÓS: Modelo preditivo baseado em histÓricos de contextos para o gerenciamento de tempo em projetos],3.81,3.52,3.82,2.31,3.62,3.51,2.16,3.19,3.42
Machine learning in oil and gas; a SWOT analysis approach,5.41,6.34,5.6,6.15,4.47,4.22,7.36,4.17,5.13
A survey of requirements for Thailand's industry 4.0: The perspectives from academics and entrepreneurs,6.01,5.63,7.12,7.69,5.53,7.56,7.36,5.03,8.56
New toys and tricks for old dogs,2.4,2.82,2.8,1.54,3.4,3.16,2.6,2.33,2.2
An Analysis of Log Management Practices to reduce IT Operational Costs Using Big Data Analytics,7.21,9.86,7.89,8.85,8.3,7.56,7.79,6.26,8.07
A multi perspective framework for enhanced supply chain analytics,6.41,9.15,7.89,6.92,7.02,5.8,5.63,4.91,7.82
Smarter Crossing Analytics System to Predict and Anticipate the Student Behavior for Self Automatic Adaptation of Academic Learning,5.61,4.93,7.89,6.92,5.74,7.56,7.36,5.77,8.31
Design of a customized enterprise resource planning system for a private basic education school,7.41,7.04,10.43,9.23,6.81,7.21,7.79,6.13,9.78
Evaluating and comparing entrepreneurial ecosystems using SMAA and SMAA-S,5.61,10.56,6.62,7.31,7.45,6.5,6.06,6.13,6.6
"A Bioinformatics Primer to Data Science, with Examples for Metabolomics",5.21,7.04,5.09,5.38,4.89,5.45,5.19,4.29,4.4
Integration of the Management Information System for Competitive Positioning,4.41,9.86,6.62,7.69,4.47,4.22,4.76,3.68,5.13
ICSSP 2018—Special issue introduction,4.21,4.93,4.07,6.54,5.32,4.92,6.06,3.68,6.6
Analysing the use of business simulation to build entrepreneurial leaders: The case of UAE learners,8.02,9.15,8.65,8.46,7.87,7.03,7.36,5.64,8.31
Chapter 9: Information technology issues in France,5.21,5.63,4.07,4.62,4.04,4.22,6.06,3.56,4.65
"Applications of an interaction, process, integration and intelligence (IPII) design approach for ergonomics solutions",9.02,7.04,8.4,10.77,6.6,7.56,9.96,6.63,8.07
Sanitary sewer infrastructure O&M and renewal prioritization from utility-wide data analytics,5.21,5.63,6.36,6.15,4.68,5.1,7.36,4.42,6.6
Multi-attribute dependent bug severity and fix time prediction modeling,7.01,4.93,7.38,6.54,6.81,5.27,5.63,5.89,7.58
Information System Guided Supply Chains and their Visual Analytics in Integrated Project Management,5.61,6.34,4.83,4.62,4.04,5.1,4.76,4.42,5.62
"Values statements: The missing link between organizational culture, strategic management and strategic communication",6.61,8.45,7.89,8.85,6.81,7.73,8.23,6.38,8.07
Speech-acts based analysis for requirements discovery from online discussions,6.21,7.75,8.14,6.92,7.23,7.21,9.09,6.75,7.82
On the Radical De- and Re-Construction of Today's Enterprise Applications,5.61,8.45,5.34,7.31,5.53,4.57,6.93,3.93,4.65
Investigating the data science skill gap: An empirical analysis,7.62,6.34,5.09,6.15,6.81,5.27,7.79,4.66,7.58
PROJECT MANAGEMENT PROPOSAL WITH AGILE METHODOLOGY: ELDE CASE STUDY; [PROPUESTA DE GESTIÓN DE PROYECTOS CON METODOLOGÍA AGILE: CASO DE ESTUDIO PROYECTO ELDE],3.61,4.23,4.83,6.15,3.83,3.69,4.33,3.44,4.65
Detecting IoT Applications Opportunities and Requirements Elicitation: A Design Thinking Based Approach,5.41,4.23,6.62,4.62,5.74,6.33,9.09,5.28,6.11
Online modules to introduce students to solar array control using neural nets,4.61,2.11,5.6,5.38,4.89,4.92,4.76,5.03,5.13
Project Management as a Tool for Smart University Creation and Development,4.21,4.93,4.58,5.0,4.26,3.34,4.76,3.56,5.87
Choosing effective internet marketing tools in strategic management,4.61,3.52,4.33,3.08,4.26,3.87,3.03,3.68,5.13
An experience report for running an REU program in an iSchool,3.01,2.11,2.04,3.46,2.77,2.99,2.16,2.33,3.18
Project and Resource Optimization (PRO) for IT Service Delivery,2.81,3.52,2.29,3.85,3.4,3.16,3.03,3.07,3.91
Data science and project engineering management techniques; [Técnicas de gestión de la ciencia de datos e ingeniería de proyectos],4.41,4.23,6.87,6.54,5.53,5.62,4.76,4.17,4.4
Machine Learning Algorithms for Construction Projects Delay Risk Prediction,7.21,8.45,10.18,6.92,9.15,7.73,7.79,6.38,7.82
A model designed for HSE big data analysis in petroleum industry,5.01,7.04,4.83,4.62,5.53,4.04,5.19,4.05,5.62
"Proceedings - 2019 ACM/IEEE 14th International Conference on Global Software Engineering, ICGSE 2019",5.01,8.45,6.11,6.15,6.17,4.75,9.09,3.93,5.62
Senior public leaders’ perceptions of business intelligence,5.41,7.04,5.09,7.69,4.47,5.45,6.06,5.52,6.36
Spatio-temporal assessment of energy consumption and socio-economic drivers in rural areas in Poland,5.61,9.86,7.12,5.38,6.38,5.8,6.49,4.05,5.62
Towards an improved ASUM-DM process methodology for cross-disciplinary multi-organization big data & analytics projects,4.21,4.23,4.58,5.0,3.83,3.87,4.33,4.05,5.13
Massive open online courses in software engineering education,6.81,5.63,8.91,12.31,8.09,8.61,10.39,7.98,8.56
Prioritization of business analytics projects using interval type-2 fuzzy AHP,6.81,9.86,7.63,8.46,7.23,6.68,6.93,5.64,9.29
Data mining of project management data: An analysis of applied research studies,2.4,3.52,3.56,3.08,3.19,3.51,4.33,3.44,3.91
"Proceedings of the International Conference on Industrial Engineering and Operations Management Bangkok, IEOM 2019",9.82,13.38,11.45,8.85,9.15,9.31,9.52,6.38,13.45
The influence of the Digital Divide on Big Data generation within supply chain management,15.03,19.01,18.83,17.69,14.68,16.52,19.48,13.5,17.85
A Systematic Framework for Assessing the Quality of Information in Data-Driven Applications for the Industry 4.0,6.81,5.63,8.14,5.77,7.23,7.91,8.66,6.5,9.05
Sustaining innovation performance in SMEs: Exploring the roles of strategic entrepreneurship and IT capabilities,6.41,9.15,7.63,9.23,7.02,7.03,8.66,5.64,7.58
The impact of digital transformation on development of Latvian insurance companies' digitalization strategies and shift of perception values,9.22,14.08,10.69,9.23,8.72,8.44,11.26,6.87,11.0
"Proceedings - Frontiers in Education Conference, FIE",5.21,4.23,6.62,8.46,6.17,5.98,9.52,4.66,6.36
Exploring project management methodologies used within data science teams,3.21,2.11,3.82,3.85,2.55,4.04,4.76,2.82,4.89
"18th Online World Conference on Soft Computing in Industrial Applications, WSC 2018",7.41,10.56,7.63,4.23,7.66,6.15,4.76,5.03,7.58
The use of academic libraries in turbulent times: Student library behaviour and academic performance at the University of Cape Town,6.61,6.34,6.62,9.62,6.81,6.33,6.93,6.13,9.05
Leveraging predictive analytical for business value : Theoretical foundations,6.81,9.15,6.62,9.62,7.02,5.1,8.23,5.15,7.33
Improvement of investment processes in mining company by implementation of project management system,5.61,7.04,7.38,8.08,6.38,4.92,6.93,4.91,7.33
Critical success factors for the implementation of business intelligence systems,4.01,2.82,4.07,4.62,2.77,3.51,4.76,2.82,4.4
"10th Conference of the European Society for Fuzzy Logic and Technology, EUSFLAT 2017 and 16th International Workshop on Intuitionistic Fuzzy Sets and Generalized Nets, IWIFSGN 2017",6.81,10.56,7.38,5.77,7.23,5.8,6.49,5.64,7.33
XEW 2.0: Establishment of a new competitive intelligence system for big data analytics,4.21,6.34,4.58,5.0,3.4,3.34,3.03,2.33,5.13
"As Technologies for Nucleotide Therapeutics Mature, Products Emerge",4.21,5.63,6.36,6.15,4.26,4.04,5.19,4.17,5.62
Identifying the key drivers for teams to use a data science process methodology,5.61,6.34,5.85,4.62,5.11,4.22,6.93,4.54,7.09
Strategic analytics: Integrating management science and strategy,7.01,8.45,8.4,8.46,9.15,7.73,9.09,7.12,9.05
Strategic mapping: relationships that count,6.61,9.15,9.41,6.92,7.45,7.73,7.79,7.36,10.27
In search of a framework for personal healthcare management in oncology,5.61,7.04,7.89,8.85,5.96,5.98,6.49,5.15,7.09
The Design of Flexible Workflow in Scientific Research Management System,3.61,2.82,4.83,5.38,3.19,4.57,4.33,3.31,3.91
What construction topics do they discuss in social media? A case study of weibo in China,6.41,6.34,6.36,7.31,6.17,5.8,6.93,5.28,7.09
Student attitudes toward information systems graduate program design and delivery,5.01,5.63,5.09,5.0,4.04,4.92,5.19,3.8,5.87
The role of business intelligence in sustainability reporting for South African higher education institutions,5.21,8.45,5.6,8.85,6.38,4.75,8.66,6.26,7.58
An ICT Project Case Study from Education: A Technology Review for a Data Engineering Pipeline,5.21,4.23,4.83,5.77,4.89,4.92,6.06,4.17,6.85
Citizen Data Scientist: A Design Science Research Method for the Conduct of Data Science Projects,4.41,4.23,5.09,5.0,4.47,5.45,4.76,4.17,5.38
A study on the provision of national R & D information service through user analysis,4.41,5.63,5.85,6.15,5.32,5.1,6.06,4.42,6.11
Best practices in structuring data science projects,3.41,2.82,4.33,5.0,4.68,10.54,4.33,3.93,6.36
Data lakes in business intelligence: Reporting from the trenches,5.41,7.04,7.12,6.92,5.11,4.39,6.93,4.05,5.62
The dark side of successful data intensive projects: Function creep and stakeholder creep,3.81,6.34,4.33,5.38,4.26,4.39,4.76,3.19,6.11
Digitalisation and big data mining in banking,4.61,6.34,6.11,5.38,5.32,5.45,4.76,4.42,6.36
Smart office: A data-driven management tool for mechanized tunneling construction,4.41,4.93,5.09,4.62,4.04,3.87,6.06,4.29,4.89
"25th ISTE International Conference on Transdisciplinary Engineering, 2018",7.41,9.86,8.91,8.46,7.23,7.03,6.93,6.13,8.07
Scientometric analysis of knowledge in the context of project management: Subject area: (Knowledge management and project management),3.81,5.63,6.62,3.85,4.68,5.1,5.19,4.05,5.13
Predictive quality performance control in BPM: Proposing a framework for predicting quality anomalies,4.81,7.75,5.6,6.54,3.83,5.27,5.63,3.8,5.62
Innovative undergraduate degree programs in data science and business analytics,8.62,5.63,8.91,7.31,7.87,7.21,9.52,6.63,10.76
"International workshops: ASDENCA, BDA, BIOC, COGNISE, Enterprise Modeling, and FAiSE wokshops are held in conjunction with the 30th International Conference on Advanced Information Systems Engineering, CAiSE 2018",6.41,8.45,8.65,8.85,8.09,6.33,9.09,6.01,7.33
"The road from millennium to alma: Two tracks, one destination",2.2,3.52,3.31,3.46,3.62,2.64,3.46,2.09,4.16
"Predictive modelling: Flight delays and associated factors, Hartsfield-Jackson Atlanta international airport",3.21,4.93,5.6,4.23,6.38,5.62,3.9,4.17,6.6
SaaS BI for Chinese SMEs: Case study on Zhongli intellectual technology,4.21,8.45,4.07,5.77,3.4,3.34,4.33,2.94,5.13
Using a coach to improve team performance when the team uses a kanban process methodology,4.21,3.52,3.82,6.92,5.32,3.51,3.03,3.44,4.65
Assessment of entrepreneurship competencies through the use of fligby,5.21,7.75,5.34,5.38,5.32,4.92,6.93,4.66,5.62
Development of Bulk Material Management System and Research on Material Balance Applications Based on Business Intelligence,7.01,11.97,7.89,6.15,6.6,6.68,7.79,5.03,7.33
Customer&#x2019;s Activity Recognition in Smart Retail Environment Using AltBeacon,4.61,3.52,3.31,2.69,3.62,3.87,8.23,3.07,3.18
Designing an online marketing investment evaluation system case study of cosmetics manufacturing company,4.81,4.23,5.6,6.92,6.6,5.62,6.49,4.91,5.62
Automated performance measurement for 3D building modeling decisions,8.42,6.34,9.67,9.62,8.72,7.73,9.52,6.75,8.56
Big data—a new technology trend and factors affecting the implementation of big data in australian industries,10.42,9.15,10.69,8.85,10.0,9.31,11.26,7.24,10.02
Pentasphere predictive analytics for urban environment arrangement and management,5.01,7.04,7.38,4.62,5.74,5.8,6.49,4.91,8.07
Big Data Platform for Enterprise project management digitization using Machine learning,4.21,5.63,5.85,5.38,4.68,4.92,5.19,3.31,5.38
Industrial Practices of Evaluation of Projects in Global Environments: An Empirical study,4.41,5.63,5.34,5.77,4.04,5.1,4.33,2.94,5.87
Smart office; application of a unified analytics center in tunneling construction,4.21,5.63,4.58,3.46,3.62,3.34,4.76,3.93,5.13
